# pt3
# underflow	  0.0000000    	  0.0000000    
# overflow	  60787158.    	  496210.24    
# sum	 0.78184901E+11	 0.44307324E+09
# xmin	xmax	cross	numerror
  0.0000000    	 0.25000000    	 0.69403788E+09	  49989888.    
 0.25000000    	 0.50000000    	 0.20187839E+10	  98028995.    
 0.50000000    	 0.75000000    	 0.32604938E+10	 0.12877937E+09
 0.75000000    	  1.0000000    	 0.41238040E+10	 0.16520396E+09
  1.0000000    	  1.2500000    	 0.57116043E+10	 0.17189157E+09
  1.2500000    	  1.5000000    	 0.68549824E+10	 0.17004909E+09
  1.5000000    	  1.7500000    	 0.67842813E+10	 0.15471276E+09
  1.7500000    	  2.0000000    	 0.68124162E+10	 0.13314568E+09
  2.0000000    	  2.2500000    	 0.61978190E+10	 0.10994027E+09
  2.2500000    	  2.5000000    	 0.56607400E+10	  92721906.    
  2.5000000    	  2.7500000    	 0.46241147E+10	  77082627.    
  2.7500000    	  3.0000000    	 0.40926882E+10	  61443379.    
  3.0000000    	  3.2500000    	 0.33924713E+10	  53369599.    
  3.2500000    	  3.5000000    	 0.28574210E+10	  44158771.    
  3.5000000    	  3.7500000    	 0.23584063E+10	  37603343.    
  3.7500000    	  4.0000000    	 0.19563717E+10	  31116218.    
  4.0000000    	  4.2500000    	 0.16674399E+10	  26808937.    
  4.2500000    	  4.5000000    	 0.13616572E+10	  22189605.    
  4.5000000    	  4.7500000    	 0.11534576E+10	  18742862.    
  4.7500000    	  5.0000000    	 0.96298606E+09	  16008633.    
  5.0000000    	  5.2500000    	 0.82785881E+09	  14461124.    
  5.2500000    	  5.5000000    	 0.64382124E+09	  12552266.    
  5.5000000    	  5.7500000    	 0.58513124E+09	  10429912.    
  5.7500000    	  6.0000000    	 0.48758183E+09	  8584208.1    
  6.0000000    	  6.2500000    	 0.40698303E+09	  7513957.8    
  6.2500000    	  6.5000000    	 0.35019641E+09	  6876034.7    
  6.5000000    	  6.7500000    	 0.29893573E+09	  5856978.0    
  6.7500000    	  7.0000000    	 0.25284887E+09	  4873047.3    
  7.0000000    	  7.2500000    	 0.22245595E+09	  4316118.5    
  7.2500000    	  7.5000000    	 0.19257066E+09	  3796072.9    
  7.5000000    	  7.7500000    	 0.16604748E+09	  3311045.9    
  7.7500000    	  8.0000000    	 0.14445996E+09	  3027446.3    
  8.0000000    	  8.2500000    	 0.12332179E+09	  2695078.6    
  8.2500000    	  8.5000000    	 0.10520739E+09	  2333921.9    
  8.5000000    	  8.7500000    	  93081493.    	  2094238.4    
  8.7500000    	  9.0000000    	  83489145.    	  1909160.2    
  9.0000000    	  9.2500000    	  70153846.    	  1761787.5    
  9.2500000    	  9.5000000    	  64705034.    	  1527924.6    
  9.5000000    	  9.7500000    	  54503545.    	  1361455.6    
  9.7500000    	  10.000000    	  47364435.    	  1212125.1    
  10.000000    	  10.250000    	  45367813.    	  1056784.6    
  10.250000    	  10.500000    	  37745623.    	  1041445.0    
  10.500000    	  10.750000    	  35451283.    	  981069.51    
  10.750000    	  11.000000    	  29976857.    	  820022.58    
  11.000000    	  11.250000    	  25633706.    	  745295.90    
  11.250000    	  11.500000    	  24108281.    	  697333.72    
  11.500000    	  11.750000    	  20497290.    	  640829.87    
  11.750000    	  12.000000    	  17732692.    	  623967.81    
  12.000000    	  12.250000    	  16843408.    	  537223.78    
  12.250000    	  12.500000    	  15733428.    	  492119.47    
  12.500000    	  12.750000    	  14021516.    	  449532.53    
  12.750000    	  13.000000    	  12208633.    	  410284.36    
  13.000000    	  13.250000    	  10455146.    	  379785.85    
  13.250000    	  13.500000    	  10138937.    	  334143.62    
  13.500000    	  13.750000    	  9247626.1    	  311347.99    
  13.750000    	  14.000000    	  8155146.9    	  284426.09    
  14.000000    	  14.250000    	  7095822.2    	  264097.23    
  14.250000    	  14.500000    	  6410292.4    	  246099.64    
  14.500000    	  14.750000    	  5417646.8    	  214469.32    
  14.750000    	  15.000000    	  5177656.6    	  199555.61    
