# pt3
# underflow	  0.0000000    	  0.0000000    
# overflow	  184898.64    	  7881.3897    
# sum	 0.33173054E+11	 0.29310852E+09
# xmin	xmax	cross	numerror
  0.0000000    	 0.25000000    	 0.55216424E+09	  37787916.    
 0.25000000    	 0.50000000    	 0.12844786E+10	  73607758.    
 0.50000000    	 0.75000000    	 0.19318113E+10	  98657312.    
 0.75000000    	  1.0000000    	 0.25672688E+10	 0.11658571E+09
  1.0000000    	  1.2500000    	 0.30346038E+10	 0.11089068E+09
  1.2500000    	  1.5000000    	 0.33781286E+10	 0.11714469E+09
  1.5000000    	  1.7500000    	 0.33537481E+10	  90448998.    
  1.7500000    	  2.0000000    	 0.30548981E+10	  86195112.    
  2.0000000    	  2.2500000    	 0.27428565E+10	  66885278.    
  2.2500000    	  2.5000000    	 0.22255788E+10	  57034268.    
  2.5000000    	  2.7500000    	 0.18376375E+10	  47631951.    
  2.7500000    	  3.0000000    	 0.15353836E+10	  35916547.    
  3.0000000    	  3.2500000    	 0.11137340E+10	  31536631.    
  3.2500000    	  3.5000000    	 0.92818902E+09	  25536516.    
  3.5000000    	  3.7500000    	 0.74413667E+09	  19449796.    
  3.7500000    	  4.0000000    	 0.56733986E+09	  15686000.    
  4.0000000    	  4.2500000    	 0.45595860E+09	  14166176.    
  4.2500000    	  4.5000000    	 0.36818845E+09	  10574803.    
  4.5000000    	  4.7500000    	 0.28165544E+09	  8932183.8    
  4.7500000    	  5.0000000    	 0.23756204E+09	  6786318.9    
  5.0000000    	  5.2500000    	 0.17888521E+09	  5763871.2    
  5.2500000    	  5.5000000    	 0.15513072E+09	  4785365.1    
  5.5000000    	  5.7500000    	 0.12714691E+09	  4358644.2    
  5.7500000    	  6.0000000    	  93777225.    	  3505436.8    
  6.0000000    	  6.2500000    	  78253900.    	  2880378.2    
  6.2500000    	  6.5000000    	  64689270.    	  2342859.3    
  6.5000000    	  6.7500000    	  51346624.    	  2077905.8    
  6.7500000    	  7.0000000    	  45744477.    	  1834222.6    
  7.0000000    	  7.2500000    	  34314822.    	  1528376.2    
  7.2500000    	  7.5000000    	  27597211.    	  1130453.7    
  7.5000000    	  7.7500000    	  22670978.    	  964713.63    
  7.7500000    	  8.0000000    	  19950874.    	  854131.49    
  8.0000000    	  8.2500000    	  16374101.    	  762569.47    
  8.2500000    	  8.5000000    	  13104457.    	  639992.97    
  8.5000000    	  8.7500000    	  11057428.    	  545389.65    
  8.7500000    	  9.0000000    	  8858235.4    	  429586.83    
  9.0000000    	  9.2500000    	  7383844.1    	  389706.51    
  9.2500000    	  9.5000000    	  2140147.8    	  241921.21    
  9.5000000    	  9.7500000    	  4957757.2    	  308932.73    
  9.7500000    	  10.000000    	  4543876.9    	  302241.83    
  10.000000    	  10.250000    	  3699606.6    	  224709.52    
  10.250000    	  10.500000    	  585834.70    	  105004.60    
  10.500000    	  10.750000    	  850577.44    	  106619.82    
  10.750000    	  11.000000    	  556597.25    	  83749.823    
  11.000000    	  11.250000    	  458921.84    	  73786.742    
  11.250000    	  11.500000    	  506900.01    	  71846.735    
  11.500000    	  11.750000    	  260527.66    	  56984.755    
  11.750000    	  12.000000    	  1148098.3    	  99684.116    
  12.000000    	  12.250000    	  219171.41    	  42571.899    
  12.250000    	  12.500000    	  515309.74    	  47915.671    
  12.500000    	  12.750000    	  155262.68    	  28436.656    
  12.750000    	  13.000000    	  98903.106    	  28648.769    
  13.000000    	  13.250000    	  104745.23    	  20985.102    
  13.250000    	  13.500000    	  132433.58    	  17476.554    
  13.500000    	  13.750000    	  69412.769    	  17019.727    
  13.750000    	  14.000000    	  73928.133    	  13254.373    
  14.000000    	  14.250000    	  67445.316    	  9884.9416    
  14.250000    	  14.500000    	  40831.311    	  10047.888    
  14.500000    	  14.750000    	  49145.673    	  7992.3146    
  14.750000    	  15.000000    	  25151.869    	  6222.0834    
