# pt3
# underflow	  0.0000000    	  0.0000000    
# overflow	 0.17868127E+09	  1133113.7    
# sum	 0.10383221E+12	 0.55549588E+09
# xmin	xmax	cross	numerror
  0.0000000    	 0.25000000    	 0.82870167E+09	  57214721.    
 0.25000000    	 0.50000000    	 0.23145001E+10	 0.11618794E+09
 0.50000000    	 0.75000000    	 0.35625562E+10	 0.15290152E+09
 0.75000000    	  1.0000000    	 0.48336317E+10	 0.20034240E+09
  1.0000000    	  1.2500000    	 0.66822603E+10	 0.20878056E+09
  1.2500000    	  1.5000000    	 0.79757046E+10	 0.21023414E+09
  1.5000000    	  1.7500000    	 0.88974444E+10	 0.18130521E+09
  1.7500000    	  2.0000000    	 0.84249325E+10	 0.16153269E+09
  2.0000000    	  2.2500000    	 0.82888004E+10	 0.14759939E+09
  2.2500000    	  2.5000000    	 0.71035634E+10	 0.12524257E+09
  2.5000000    	  2.7500000    	 0.65459770E+10	 0.11019285E+09
  2.7500000    	  3.0000000    	 0.56318853E+10	  93379729.    
  3.0000000    	  3.2500000    	 0.46784880E+10	  76613743.    
  3.2500000    	  3.5000000    	 0.40905708E+10	  65663276.    
  3.5000000    	  3.7500000    	 0.34414931E+10	  56363446.    
  3.7500000    	  4.0000000    	 0.28957969E+10	  49443811.    
  4.0000000    	  4.2500000    	 0.24817875E+10	  43126967.    
  4.2500000    	  4.5000000    	 0.21211088E+10	  38570348.    
  4.5000000    	  4.7500000    	 0.17404710E+10	  31248633.    
  4.7500000    	  5.0000000    	 0.14893034E+10	  25357588.    
  5.0000000    	  5.2500000    	 0.12831055E+10	  22293421.    
  5.2500000    	  5.5000000    	 0.10941167E+10	  20726106.    
  5.5000000    	  5.7500000    	 0.89370261E+09	  18074549.    
  5.7500000    	  6.0000000    	 0.81661703E+09	  15481392.    
  6.0000000    	  6.2500000    	 0.68276485E+09	  13402647.    
  6.2500000    	  6.5000000    	 0.61989386E+09	  12597969.    
  6.5000000    	  6.7500000    	 0.50952787E+09	  11068674.    
  6.7500000    	  7.0000000    	 0.44498681E+09	  9101847.3    
  7.0000000    	  7.2500000    	 0.38996388E+09	  8284615.8    
  7.2500000    	  7.5000000    	 0.33210957E+09	  7812350.6    
  7.5000000    	  7.7500000    	 0.29193235E+09	  6864599.8    
  7.7500000    	  8.0000000    	 0.25489599E+09	  6059909.5    
  8.0000000    	  8.2500000    	 0.22396747E+09	  5629542.2    
  8.2500000    	  8.5000000    	 0.20303570E+09	  5272332.8    
  8.5000000    	  8.7500000    	 0.17889052E+09	  4533915.6    
  8.7500000    	  9.0000000    	 0.15433146E+09	  4190273.6    
  9.0000000    	  9.2500000    	 0.13689636E+09	  3555390.1    
  9.2500000    	  9.5000000    	 0.13165743E+09	  3513525.4    
  9.5000000    	  9.7500000    	 0.10471351E+09	  3385609.9    
  9.7500000    	  10.000000    	 0.10052820E+09	  2867476.5    
  10.000000    	  10.250000    	  86077179.    	  2473450.2    
  10.250000    	  10.500000    	  77120675.    	  2256344.2    
  10.500000    	  10.750000    	  72958987.    	  2135922.0    
  10.750000    	  11.000000    	  61340774.    	  1884404.0    
  11.000000    	  11.250000    	  57058472.    	  1656474.1    
  11.250000    	  11.500000    	  50739366.    	  1566194.0    
  11.500000    	  11.750000    	  45840285.    	  1418685.7    
  11.750000    	  12.000000    	  41919729.    	  1391013.5    
  12.000000    	  12.250000    	  36468044.    	  1239345.9    
  12.250000    	  12.500000    	  33572093.    	  1126944.9    
  12.500000    	  12.750000    	  30626423.    	  1047755.3    
  12.750000    	  13.000000    	  27824134.    	  990002.15    
  13.000000    	  13.250000    	  25093216.    	  833497.01    
  13.250000    	  13.500000    	  23965170.    	  800588.78    
  13.500000    	  13.750000    	  21690119.    	  744985.06    
  13.750000    	  14.000000    	  19614554.    	  680010.58    
  14.000000    	  14.250000    	  19535256.    	  742561.98    
  14.250000    	  14.500000    	  16631372.    	  649502.93    
  14.500000    	  14.750000    	  14134205.    	  550030.13    
  14.750000    	  15.000000    	  14703072.    	  543542.13    
