# pt3
# underflow	  0.0000000    	  0.0000000    
# overflow	  19.493483    	  20.048998    
# sum	 0.17890720E+11	 0.35941763E+09
# xmin	xmax	cross	numerror
  0.0000000    	 0.25000000    	 0.45493364E+09	  47418749.    
 0.25000000    	 0.50000000    	 0.10530792E+10	  85037716.    
 0.50000000    	 0.75000000    	 0.12578851E+10	 0.13851275E+09
 0.75000000    	  1.0000000    	 0.17212298E+10	 0.15352005E+09
  1.0000000    	  1.2500000    	 0.18617002E+10	 0.14935918E+09
  1.2500000    	  1.5000000    	 0.18120156E+10	 0.13688062E+09
  1.5000000    	  1.7500000    	 0.19658658E+10	 0.12582874E+09
  1.7500000    	  2.0000000    	 0.18408353E+10	  85494532.    
  2.0000000    	  2.2500000    	 0.12764721E+10	  73148971.    
  2.2500000    	  2.5000000    	 0.10324323E+10	  56609283.    
  2.5000000    	  2.7500000    	 0.91050196E+09	  41618205.    
  2.7500000    	  3.0000000    	 0.61576008E+09	  32333485.    
  3.0000000    	  3.2500000    	 0.49442270E+09	  24517639.    
  3.2500000    	  3.5000000    	 0.40310523E+09	  17843485.    
  3.5000000    	  3.7500000    	 0.27717995E+09	  13975650.    
  3.7500000    	  4.0000000    	 0.21561078E+09	  11264544.    
  4.0000000    	  4.2500000    	 0.15095087E+09	  9136941.5    
  4.2500000    	  4.5000000    	 0.12834194E+09	  6510947.6    
  4.5000000    	  4.7500000    	 0.10262507E+09	  4809652.8    
  4.7500000    	  5.0000000    	  75728830.    	  3759214.3    
  5.0000000    	  5.2500000    	  57352810.    	  3046574.2    
  5.2500000    	  5.5000000    	  45727775.    	  2279619.1    
  5.5000000    	  5.7500000    	  31625441.    	  1745359.2    
  5.7500000    	  6.0000000    	  24244125.    	  1327081.5    
  6.0000000    	  6.2500000    	  20833393.    	  1062567.5    
  6.2500000    	  6.5000000    	  14624467.    	  826199.52    
  6.5000000    	  6.7500000    	  11065157.    	  690143.73    
  6.7500000    	  7.0000000    	  8872072.2    	  579358.43    
  7.0000000    	  7.2500000    	  6416723.8    	  447617.67    
  7.2500000    	  7.5000000    	  4865549.1    	  341808.62    
  7.5000000    	  7.7500000    	  3413286.2    	  264487.91    
  7.7500000    	  8.0000000    	  2996922.5    	  260065.30    
  8.0000000    	  8.2500000    	  2198098.9    	  199257.72    
  8.2500000    	  8.5000000    	  1861956.0    	  168888.32    
  8.5000000    	  8.7500000    	  1288095.6    	  138106.02    
  8.7500000    	  9.0000000    	  872390.28    	  87307.604    
  9.0000000    	  9.2500000    	  668497.54    	  85766.421    
  9.2500000    	  9.5000000    	  381211.33    	  51543.619    
  9.5000000    	  9.7500000    	  169540.74    	  31710.480    
  9.7500000    	  10.000000    	  138593.56    	  21137.055    
  10.000000    	  10.250000    	  157822.93    	  27085.404    
  10.250000    	  10.500000    	  87312.681    	  15389.716    
  10.500000    	  10.750000    	  36463.085    	  6923.5679    
  10.750000    	  11.000000    	  81318.845    	  15511.897    
  11.000000    	  11.250000    	  35800.456    	  8190.4893    
  11.250000    	  11.500000    	  8145.2932    	  2608.9571    
  11.500000    	  11.750000    	  9933.7910    	  2621.3260    
  11.750000    	  12.000000    	  2482.6590    	  1502.7086    
  12.000000    	  12.250000    	  3947.1119    	  1031.1928    
  12.250000    	  12.500000    	  1025.6529    	  734.57791    
  12.500000    	  12.750000    	  968.49909    	  689.59586    
  12.750000    	  13.000000    	  683.25963    	  410.13239    
  13.000000    	  13.250000    	  50.301858    	  318.12851    
  13.250000    	  13.500000    	  399.97894    	  211.80392    
  13.500000    	  13.750000    	  264.52765    	  138.41362    
  13.750000    	  14.000000    	  215.77045    	  98.714632    
  14.000000    	  14.250000    	  93.834857    	  63.702235    
  14.250000    	  14.500000    	  102.51753    	  62.393686    
  14.500000    	  14.750000    	  72.940826    	  29.638879    
  14.750000    	  15.000000    	  17.983221    	  23.326363    
