0.75	18.875	3.8476E-02
0.75	19.125	3.6274E-02
0.75	19.375	3.5616E-02
0.75	19.625	3.2685E-02
0.75	19.875	3.1090E-02
0.75	20.125	3.0353E-02
0.75	20.375	2.7631E-02
0.75	20.625	2.6754E-02
0.75	20.875	2.5309E-02
0.75	21.125	2.3475E-02
0.75	21.375	2.2717E-02
0.75	21.625	2.1511E-02
0.75	21.875	2.0743E-02
0.75	22.125	1.9388E-02
0.75	22.375	1.8889E-02
0.75	22.625	1.7922E-02
0.75	22.875	1.7005E-02
0.75	23.125	1.6367E-02
0.75	23.375	1.5989E-02
0.75	23.625	1.4932E-02
0.75	23.875	1.3586E-02
0.75	24.125	1.3208E-02
0.75	24.375	1.3088E-02
0.75	24.625	1.2031E-02
0.75	24.875	1.1682E-02
1.25	0.125	7.6536E+00
1.25	0.375	1.9617E+01
1.25	0.625	2.8947E+01
1.25	0.875	3.5616E+01
1.25	1.125	4.0879E+01
1.25	1.375	4.2374E+01
1.25	1.625	4.2523E+01
1.25	1.875	4.1098E+01
1.25	2.125	3.9005E+01
1.25	2.375	3.4978E+01
1.25	2.625	3.1260E+01
1.25	2.875	2.7253E+01
1.25	3.125	2.3485E+01
1.25	3.375	2.0076E+01
1.25	3.625	1.6886E+01
1.25	3.875	1.4174E+01
1.25	4.125	1.1872E+01
1.25	4.375	1.0008E+01
1.25	4.625	8.3613E+00
1.25	4.875	7.0492E+00
1.25	5.125	5.9190E+00
1.25	5.375	4.9910E+00
1.25	5.625	4.2484E+00
1.25	5.875	3.6493E+00
1.25	6.125	3.1399E+00
1.25	6.375	2.7462E+00
1.25	6.625	2.3415E+00
1.25	6.875	2.0385E+00
1.25	7.125	1.7833E+00
1.25	7.375	1.5610E+00
1.25	7.625	1.3846E+00
1.25	7.875	1.2231E+00
1.25	8.125	1.0865E+00
1.25	8.375	9.6222E-01
1.25	8.625	8.6373E-01
1.25	8.875	7.7221E-01
1.25	9.125	6.9215E-01
1.25	9.375	6.2101E-01
1.25	9.625	5.5821E-01
1.25	9.875	5.0578E-01
1.25	10.125	4.5344E-01
1.25	10.375	4.2474E-01
1.25	10.625	3.8287E-01
1.25	10.875	3.4998E-01
1.25	11.125	3.1818E-01
1.25	11.375	2.9156E-01
1.25	11.625	2.6814E-01
1.25	11.875	2.4242E-01
1.25	12.125	2.1999E-01
1.25	12.375	2.0335E-01
1.25	12.625	1.8471E-01
1.25	12.875	1.7245E-01
1.25	13.125	1.6348E-01
1.25	13.375	1.5181E-01
1.25	13.625	1.4125E-01
1.25	13.875	1.2659E-01
1.25	14.125	1.1982E-01
1.25	14.375	1.1124E-01
1.25	14.625	1.0417E-01
1.25	14.875	9.5313E-02
1.25	15.125	9.1637E-02
1.25	15.375	8.3114E-02
1.25	15.625	8.0454E-02
1.25	15.875	7.3963E-02
1.25	16.125	6.9116E-02
1.25	16.375	6.5241E-02
1.25	16.625	5.8991E-02
1.25	16.875	5.6588E-02
1.25	17.125	5.3718E-02
1.25	17.375	5.2302E-02
1.25	17.625	4.8943E-02
1.25	17.875	4.4976E-02
1.25	18.125	4.2324E-02
1.25	18.375	3.9214E-02
1.25	18.625	3.7330E-02
1.25	18.875	3.5207E-02
1.25	19.125	3.4280E-02
1.25	19.375	3.2386E-02
1.25	19.625	3.0492E-02
1.25	19.875	2.8648E-02
1.25	20.125	2.7392E-02
1.25	20.375	2.6176E-02
1.25	20.625	2.4142E-02
1.25	20.875	2.3485E-02
1.25	21.125	2.1940E-02
1.25	21.375	2.1451E-02
1.25	21.625	1.9806E-02
1.25	21.875	1.9168E-02
1.25	22.125	1.7733E-02
1.25	22.375	1.7025E-02
1.25	22.625	1.6188E-02
1.25	22.875	1.5500E-02
1.25	23.125	1.5131E-02
1.25	23.375	1.4733E-02
1.25	23.625	1.3616E-02
1.25	23.875	1.2859E-02
1.25	24.125	1.2540E-02
1.25	24.375	1.1842E-02
1.25	24.625	1.1364E-02
